abandon [ə'bændən] v./n.放弃；放纵
abash [ə'bæʃ] v.使害羞，使尴尬
abate [ə'beit] v.减轻，减少
abbreviate [ə'bri:vieit] v.缩短；缩写
abdicate ['æbdikeit] v.退位，辞职，放弃
aberrant [æ'berənt] a.越轨的；异常的
aberration [,æbə'reiʃən] n.离开正路，脱离常轨；变形
abet [ə'bet] v.教唆，鼓励，帮助
abeyance [ə'beiəns] n.中止，搁置
abhor [əb'hɔ:] v.憎恨，嫌恶
abhorrent [əb'hɔrənt] a.可恨的，讨厌的
abide [ə'baid] v.容忍，忍受
abject ['æbdʒekt] a.极可怜的;卑下的
abjure [əb'dʒuə] v.发誓放弃
ablution [ə'blu:ʃən] n.(宗教的)净礼，沐浴
abnegate ['æbniɡeit] v.否认，放弃
abolish [ə'bɔliʃ] v.废止，废除(法律、制度、习俗等)
abolition [æbə'liʃən] n.废除，革除
abominate [ə'bɔmineit] v.痛恨；厌恶
aboveboard [ə'bʌv,bɔ:d] a./adv.光明正大的(地)
abrade [ə'breid] v.磨损，磨小
abrasion [ə'breiʒən] n.表面磨损
abrasive [ə'breisiv] a.磨损的；生硬粗暴的
abreast [ə'brest] adv.并列，并排
abridge [ə'bridʒ] v.删减；缩短
abrogate ['æbrəuɡeit] v.废止，废除
abscission [æb'siʒən] n.[医]切除，截去；[植]脱离
abscond [əb'skɔnd] v.潜逃，逃亡
absenteeism [æbsən'ti:iz(ə)m] n.旷课，旷工
absolute ['æbsəlu:t] a.绝对的，完全的; 无(条件)限制的
absolve [əb'zɔlv] v.赦免，免除
absorb [əb'sɔ:b] v.吸收；同化；吸引„的注意
abstain [əb'stein] v.禁绝，放弃
abstemious [æb'sti:mjəs] a.有节制的，节俭的(eating & drinking)
abstention [æb'stenʃən] n.节制
abstentious [əb'stenʃəs] a.节制的
abstract ['æbstrækt] n.摘要；a.抽象的
abstruse [æb'stru:s] a.难懂的，深奥的
absurd [əb'sə:d] a.荒谬的，可笑的
abundance [ə'bʌndəns] n.充裕，多量
abundant [ə'bʌndənt] a.丰富的，盛产的
abuse [ə'bju:z] v./n.辱骂; 滥用
abusive [ə'bju:siv] a.漫骂的；毁谤的；虐待的
abut [ə'bʌt] v.接界，毗连
abysmal [ə'bizməl] a.极深的；糟透的
academic [,ækə'demik] a.学院的，学术的；理论的
academician [ə,kædə'miʃən] n.院士；学会会员
accede [æk'si:d] v.同意
accelerate [æk'seləreit] v.加速；促进
accentuate [æk'sentjueit] v.重读；强调
access ['ækses] n.通路；途径
accessible [ək'sesəbl] a.易达到的；易受影响的
accessory [æk'sesəri] a.附属的，次要的
acclaim [ə'kleim] v.欢呼，称赞
acclimate [ə'klaimit] v.使服水土; 使适应
accolade ['ækəleid] n.推崇；赞扬
accommodate [ə'kɔmədeit] v.与„一致；提供食宿
accommodating [ə'kɔmədeitiŋ] a.乐于助人的
accompany [ə'kʌmpəni] v.伴随，陪伴
accomplice [ə'kɔmplis] n.同谋者，帮凶
accomplish [ə'kɔmpliʃ] v.完成，做成功
accomplished [ə'kɔmpliʃt] a.完成了的；有技巧的，有造诣的
accord [ə'kɔ:d] v./n.同意；一致
accost [ə'kɔst] v.搭话
accountability [ə,kautə'biliti] n.负有责任
accrete [æ'kri:t] v.逐渐增长；添加生长；连生
accretion [æ'kri:ʃən] n.自然的增加；增加物
accrue [ə'kru:] v.(利息等)增大；增多
accumulate [ə'kju:mjuleit] v.积聚，积累(collect)
accuracy ['ækjurəsi] n.精确，准确
accurate ['ækjurit] a.精确的，准确的
accuse [ə'kju:z] v.谴责，指责
acerbic [ə'sə:bik] a.苦涩的；刻薄的
acknowledge [ək'nɔlidʒ] v.承认；致谢
acme ['ækmi] n.顶点，极点
acolyte ['ækəlait] n.(教士的)助手，侍僧
acorn ['eikɔ:n] n.橡子，橡果
acoustic [ə'ku:stik] a.听觉的，有关声音的
acquaint [ə'kweint] v.使„熟知；通知
